[2025-02-20 08:59:35] User -> District added ->admin@pds| Requested JSON -> {"name":"Test"}
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
[2025-02-20 13:00:30] User -> Depot Edit -> admin@pds| Def
